time,trueDist,trueAngle,estimatedDist,estimatedAngleDg
2.32378E+12,3,-40,3.433,-40.39352456
2.32421E+12,3,-40,3.414,-42.05510216
2.32464E+12,3,-40,3.48,-41.53944015
2.3251E+12,3,-40,3.423,-42.28428528
2.3255E+12,3,-40,3.433,-42.45617262
2.32593E+12,3,-40,3.414,-43.31560931
2.32639E+12,3,-40,3.452,-36.78389045
2.32679E+12,3,-40,3.414,-41.13836969
2.32722E+12,3,-40,3.442,-38.21628494
2.32768E+12,3,-40,3.433,-45.95121517
2.32808E+12,3,-40,3.442,-39.53408786
2.32851E+12,3,-40,3.452,-41.13836969
2.32894E+12,3,-40,3.414,-37.35684824
2.33013E+12,3,-40,3.423,-35.2369044
2.33028E+12,3,-40,3.433,-38.67465117
2.33065E+12,3,-40,3.405,-35.46608752
2.33108E+12,3,-40,3.47,-40.278933
2.33151E+12,3,-40,3.405,-45.60744049
2.33197E+12,3,-40,3.433,-41.99780638
2.3328E+12,3,-40,3.461,-36.21093265
2.33323E+12,3,-40,3.405,-38.78924273
2.33369E+12,3,-40,3.442,-38.21628494
2.33409E+12,3,-40,3.433,-36.55470733
2.33517E+12,3,-40,3.405,-43.88856711
2.33541E+12,3,-40,3.423,-44.175046
2.33581E+12,3,-40,3.395,-37.58603136
2.33624E+12,3,-40,3.433,-32.60129854
2.33667E+12,3,-40,3.405,-39.93515832
2.33799E+12,3,-40,3.452,-35.69527064
2.33838E+12,3,-40,3.423,-37.7579187
2.33881E+12,3,-40,3.47,-34.32017193
2.33924E+12,3,-40,3.433,-39.53408786
2.3397E+12,3,-40,3.423,-43.14372197
2.3401E+12,3,-40,3.423,-45.32096159
2.34056E+12,3,-40,3.423,-36.84118623
2.34096E+12,3,-40,3.461,-41.48214437
2.34139E+12,3,-40,3.48,-34.26287615
2.34182E+12,3,-40,3.414,-45.09177848
2.34264E+12,3,-40,3.414,-40.16434144
2.34275E+12,3,-40,3.452,-50.47758175
2.34314E+12,3,-40,3.442,-37.4714398
2.34354E+12,3,-40,3.423,-33.17425634
